seller_state,customer_state,shipments,avg_freight_cost,avg_lead_time,late_rate_pct,freight_pct_of_value,cost_late_index
SP,MA,416,40.35846153846153,23.053846153846152,23.915384615384614,57.33846153846154,0.9897959183673469
MA,SP,130,32.26,16.2,26.9,39.2,0.9387755102040816
SP,PI,178,35.902857142857144,20.228571428571428,19.32857142857143,48.17142857142857,0.9387755102040816
SP,CE,934,31.495294117647056,20.741176470588236,14.617647058823529,45.56470588235294,0.8775510204081634
SP,RN,147,36.708,19.34,10.7,49.46,0.8571428571428571
SP,PA,651,32.24764705882353,23.45294117647059,13.111764705882353,50.28823529411765,0.8367346938775511
SC,RJ,345,26.5925,16.2625,13.3625,34.35,0.7857142857142857
MG,SC,112,30.733333333333334,17.099999999999998,11.299999999999999,52.1,0.7857142857142857
SP,PE,1074,29.380588235294116,18.65294117647059,10.41764705882353,49.09411764705882,0.7551020408163265
SP,BA,2373,24.608260869565218,19.452173913043477,13.208695652173914,41.37391304347826,0.7448979591836735
SP,RJ,9123,22.353571428571428,15.77142857142857,13.78095238095238,35.695238095238096,0.7346938775510203
PR,RJ,881,22.13181818181818,17.681818181818183,15.7,32.61818181818182,0.7244897959183674
BA,SP,103,35.995,11.55,7.3,8.7,0.7142857142857143
MG,BA,220,29.286666666666665,17.650000000000002,9.516666666666667,43.550000000000004,0.7142857142857142
RS,RJ,113,28.74,14.033333333333333,8.933333333333334,25.366666666666664,0.6938775510204082
SP,PB,194,38.85,18.928571428571427,5.985714285714286,54.27142857142858,0.6632653061224489
SP,MS,356,21.14181818181818,15.627272727272727,13.236363636363636,34.199999999999996,0.6326530612244898
SP,ES,1387,21.401111111111113,15.577777777777776,12.8,36.31111111111111,0.6224489795918368
MG,RJ,1150,22.226315789473684,13.942105263157893,8.889473684210527,33.98947368421052,0.5816326530612246
MG,RS,127,33.57,17.766666666666666,5.366666666666667,57.633333333333326,0.5714285714285714
SP,MT,625,25.96125,17.75625,6.4875,41.96875,0.5714285714285714
SC,MG,299,30.805714285714284,15.057142857142855,5.642857142857143,29.157142857142855,0.5510204081632653
SP,SC,2443,21.048636363636362,15.859090909090908,10.213636363636363,35.627272727272725,0.5306122448979592
RJ,RS,123,20.6675,15.925,10.225,26.725,0.5204081632653061
SC,RS,138,22.6375,12.425,6.375,27.5,0.5102040816326531
SP,RS,3856,21.81269230769231,16.23846153846154,7.7192307692307685,36.01153846153846,0.5
SP,GO,1433,20.94473684210526,16.073684210526313,8.736842105263158,37.07368421052632,0.47959183673469385
SP,MG,8254,21.17810810810811,12.22162162162162,6.3,35.11891891891892,0.41836734693877553
PR,MG,742,22.996666666666666,13.475,4.058333333333334,31.941666666666666,0.40816326530612246
SP,DF,1346,18.40888888888889,13.011111111111111,8.38888888888889,36.02222222222222,0.3877551020408163
MG,PR,212,27.083333333333332,11.950000000000001,1.7166666666666668,36.800000000000004,0.3673469387755102
PR,RS,526,21.46375,13.0375,5.575,33.8375,0.3673469387755102
RJ,PR,126,17.3575,13.075,8.525,22.9,0.36734693877551017
RS,SP,580,24.377499999999998,10.35,3.0583333333333336,36.199999999999996,0.35714285714285715
PR,SC,277,19.222,13.64,6.4,37.260000000000005,0.35714285714285715
RJ,SP,1301,18.231428571428573,11.414285714285715,7.771428571428571,28.085714285714285,0.35714285714285715
SC,SP,1323,22.24947368421053,12.294736842105262,3.615789473684211,27.794736842105266,0.346938775510204
SP,PR,3309,20.448,12.852,5.9239999999999995,37.476,0.3163265306122449
RJ,RJ,891,12.067692307692308,6.6461538461538465,8.261538461538462,22.299999999999997,0.2857142857142857
MG,SP,2747,21.097727272727273,10.713636363636363,3.95,39.163636363636364,0.2857142857142857
RJ,MG,450,17.796666666666667,12.333333333333334,6.1499999999999995,26.383333333333336,0.2755102040816326
RS,RS,143,16.283333333333335,7.533333333333334,6.133333333333333,14.566666666666668,0.22448979591836735
PR,SP,3164,20.243199999999998,11.28,3.568,26.695999999999998,0.20408163265306123
DF,SP,211,18.521666666666665,11.35,3.8833333333333333,38.96666666666666,0.19387755102040816
SP,SP,35200,14.778474576271186,7.8,5.908474576271187,25.716949152542373,0.17346938775510204
SC,PR,175,19.028,10.32,2.2399999999999998,27.1,0.15306122448979592
PR,PR,582,15.63,8.1,4.3125,26.6125,0.14285714285714285
MG,MG,1572,16.814,8.540000000000001,3.325,25.525,0.11224489795918367
SC,SC,130,16.795,7.375,1.9,23.275,0.07142857142857142
