seller_state,customer_state,category_en,shipments,avg_freight_cost,avg_item_value,freight_pct_of_value,avg_lead_time,late_rate_pct
SP,MA,office_furniture,21,81.88,145.08,63.7,33.8,33.3
SP,PA,office_furniture,25,63.0,143.85,44.6,25.5,0.0
SP,CE,office_furniture,27,62.45,159.92,42.0,29.3,14.8
SP,MT,office_furniture,20,60.4,186.04,35.1,25.5,10.0
RS,SP,bed_bath_table,25,54.59,362.58,28.0,11.4,16.0
SP,PB,furniture_decor,25,52.23,110.32,61.9,21.8,8.0
SC,RJ,auto,28,52.18,293.63,29.5,23.2,17.9
PR,BA,sports_leisure,29,51.89,176.61,37.4,21.6,10.3
SP,ES,office_furniture,29,51.84,161.17,38.6,22.2,3.4
SP,RJ,kitchen_dining_laundry_garden_furniture,28,50.21,130.98,42.7,12.6,0.0
SP,BA,office_furniture,88,49.5,143.52,36.6,29.7,11.4
SP,PI,auto,22,49.12,221.88,37.3,21.4,27.3
MG,PR,garden_tools,29,48.13,124.04,46.6,15.2,10.3
SP,PR,office_furniture,79,47.65,151.69,32.4,21.7,8.9
SC,MG,auto,30,47.39,272.22,32.3,21.9,20.0
MG,RJ,furniture_living_room,35,46.73,219.19,28.5,16.1,11.4
MG,BA,garden_tools,32,46.41,121.97,45.6,20.0,12.5
SP,MG,office_furniture,159,46.02,160.62,30.3,19.4,3.8
BA,SP,computers,36,45.68,1203.06,4.4,11.5,5.6
PR,BA,furniture_decor,33,45.43,123.6,49.2,21.9,18.2
MG,SP,construction_tools_construction,36,44.6,191.6,166.4,12.2,11.1
SP,GO,office_furniture,22,43.49,143.72,30.2,24.1,0.0
SC,SP,auto,51,43.44,258.63,31.1,16.7,15.7
SP,PB,health_beauty,49,43.07,228.66,35.7,19.4,14.3
SP,MA,baby,20,42.92,202.01,43.4,21.3,20.0
SP,SC,office_furniture,57,42.9,142.92,31.6,23.1,8.8
SP,RN,furniture_decor,20,42.87,119.13,61.9,19.3,15.0
SC,MG,housewares,32,42.54,231.25,24.6,12.7,3.1
SP,RJ,office_furniture,290,41.9,147.43,29.9,24.8,12.1
SP,MA,cool_stuff,29,41.67,216.15,29.8,22.3,27.6
MG,RJ,garden_tools,129,41.6,127.86,43.0,15.8,10.1
SP,PA,housewares,26,41.35,120.84,76.6,22.8,7.7
SP,RS,office_furniture,65,41.15,151.19,29.4,25.4,4.6
SP,MG,luggage_accessories,57,41.12,168.58,30.3,9.7,3.5
SP,MA,garden_tools,20,40.88,69.73,97.0,22.6,30.0
PR,SP,musical_instruments,28,40.66,524.11,31.3,9.5,3.6
SP,CE,cool_stuff,37,40.62,260.43,25.2,17.1,2.7
SP,PB,cool_stuff,20,40.54,205.99,29.8,16.1,0.0
SP,RS,luggage_accessories,25,40.2,137.07,33.7,14.3,4.0
SP,PI,health_beauty,26,40.11,127.9,46.0,21.0,26.9
SP,PB,bed_bath_table,28,40.02,111.27,62.8,19.6,3.6
SP,PI,bed_bath_table,32,39.87,111.81,44.2,22.5,18.8
RS,MG,cool_stuff,37,39.52,240.72,17.4,12.2,0.0
RS,RJ,cool_stuff,39,39.49,212.32,20.2,15.9,10.3
SP,MA,bed_bath_table,33,39.46,112.1,47.6,22.8,21.2
SP,MA,sports_leisure,37,39.4,142.73,52.7,20.9,21.6
MG,SC,garden_tools,22,39.23,94.52,71.2,14.5,4.5
SC,SP,home_appliances_2,20,39.04,294.24,17.0,16.2,10.0
SP,RJ,furniture_living_room,42,38.92,100.95,39.2,18.3,9.5
SP,MA,auto,24,38.87,96.42,59.7,25.5,25.0
MG,GO,housewares,20,38.85,90.22,63.6,13.1,5.0
SP,PB,watches_gifts,31,38.69,360.65,26.7,21.4,6.5
SP,RN,health_beauty,37,38.24,153.91,42.2,18.1,10.8
SP,SE,garden_tools,26,38.01,123.8,63.2,25.7,30.8
MG,RS,housewares,31,37.83,97.78,56.1,21.4,16.1
SP,PA,baby,33,37.63,253.87,29.7,22.1,9.1
MA,SC,health_beauty,20,37.59,98.54,38.7,16.7,20.0
SP,MA,furniture_decor,34,37.52,87.71,55.8,21.7,26.5
SP,RN,bed_bath_table,28,37.4,111.84,64.3,24.0,3.6
SP,RJ,luggage_accessories,59,37.18,134.01,32.7,14.3,15.3
RJ,PE,health_beauty,24,36.45,234.22,26.1,17.8,16.7
SP,SE,sports_leisure,22,36.38,97.5,45.7,16.5,0.0
ES,MG,garden_tools,32,36.29,97.05,38.1,10.8,0.0
SP,PE,cool_stuff,57,36.21,175.94,47.2,18.1,10.5
MG,BA,housewares,22,36.19,108.04,48.4,14.3,4.5
SP,MA,computers_accessories,20,36.02,109.39,61.2,25.0,30.0
SP,PI,sports_leisure,22,36.01,192.25,36.7,19.4,13.6
SP,CE,auto,44,35.92,159.01,42.3,20.1,15.9
SP,PA,furniture_decor,55,35.66,125.54,43.6,23.1,9.1
MG,PA,computers_accessories,24,35.5,109.52,60.3,26.3,12.5
SP,BA,musical_instruments,23,35.39,229.42,27.0,18.9,8.7
SP,MA,health_beauty,56,35.33,128.48,55.2,22.5,30.4
SP,MS,housewares,29,35.23,313.61,46.2,16.8,13.8
SP,PE,health_beauty,145,34.85,156.62,39.8,18.2,12.4
RJ,PE,watches_gifts,26,34.45,290.32,34.9,19.2,15.4
SP,TO,health_beauty,27,34.43,132.64,44.0,16.3,18.5
SP,RN,watches_gifts,41,34.27,228.27,32.4,18.0,9.8
MA,MG,health_beauty,32,34.17,95.99,38.5,17.3,15.6
