category_en,total_orders,avg_lead_time,median_lead_time,p75_lead_time,p90_lead_time,p99_lead_time,lead_time_std,late_rate_pct
office_furniture,1254,20.6,19.0,25.0,33.0,66.5,13.3,9.2
audio,348,13.4,11.0,17.0,27.0,45.2,9.6,12.9
fashion_shoes,235,15.7,14.0,18.5,26.6,44.3,8.6,6.4
consoles_games,1018,13.7,11.0,17.0,25.0,48.8,10.9,8.2
musical_instruments,611,13.0,10.0,16.0,25.0,46.9,11.6,8.8
stationery,2264,12.7,10.0,16.0,24.0,49.0,9.9,7.8
watches_gifts,5493,12.7,10.0,16.0,24.0,46.0,9.6,8.5
baby,2809,12.6,10.0,16.0,24.0,48.0,10.1,9.2
telephony,4093,12.9,11.0,16.0,24.0,44.0,9.2,8.5
electronics,2517,12.8,11.0,16.0,24.0,43.8,9.1,9.8
garden_tools,3448,13.6,12.0,17.0,23.0,45.5,9.3,7.9
market_place,274,12.2,11.0,15.0,23.0,40.3,7.6,4.7
home_appliances_2,227,13.9,11.0,16.0,23.0,52.9,14.9,7.0
Unknown,1392,12.7,11.0,16.0,23.0,41.2,9.7,9.1
furniture_living_room,414,13.8,12.0,17.0,23.0,46.9,9.4,8.5
furniture_decor,6307,13.0,11.0,16.0,23.0,46.9,9.9,8.5
health_beauty,8647,12.0,10.0,15.0,23.0,46.0,9.4,9.0
kitchen_dining_laundry_garden_furniture,241,11.8,9.0,16.0,23.0,44.2,8.8,4.6
computers_accessories,6529,13.1,11.0,16.0,23.0,45.0,9.3,7.7
bed_bath_table,9272,12.9,11.0,16.0,23.0,48.0,9.3,8.7
auto,3809,12.3,10.0,15.0,23.0,50.9,11.0,8.6
home_confort,392,13.6,11.0,16.0,22.9,44.2,11.8,10.5
cool_stuff,3559,12.3,10.0,15.0,22.0,44.0,9.6,6.8
air_conditioning,246,11.8,9.0,15.0,22.0,40.4,8.0,4.1
toys,3803,11.7,9.0,14.0,22.0,46.0,9.2,7.5
sports_leisure,7529,12.2,10.0,15.0,22.0,45.0,9.2,7.8
fixed_telephony,212,12.5,11.0,16.0,22.0,42.0,8.1,5.2
perfumery,3086,11.9,9.0,15.0,22.0,46.3,9.4,7.4
home_construction,483,13.4,11.0,17.0,22.0,41.4,11.3,8.1
home_appliances,747,11.2,9.0,14.0,21.0,36.1,7.8,6.7
books_technical,256,10.6,9.0,13.3,21.0,37.4,7.4,10.9
fashion_bags_accessories,1820,11.2,9.0,14.0,21.0,43.6,8.7,6.6
books_general_interest,495,11.5,10.0,14.0,21.0,38.1,7.8,6.9
pet_shop,1688,11.3,10.0,14.0,20.0,39.0,7.6,6.3
small_appliances,609,10.9,9.0,14.0,20.0,42.0,7.9,6.2
industry_commerce_and_business,231,10.8,8.0,13.0,20.0,44.8,8.2,8.2
food_drink,221,10.8,9.0,13.0,20.0,44.8,8.1,6.3
housewares,5743,11.0,9.0,14.0,20.0,42.6,8.8,6.9
drinks,287,10.3,8.0,13.0,20.0,46.1,9.0,6.6
food,441,9.7,7.0,12.0,19.0,61.2,11.3,10.0
luggage_accessories,1019,10.8,9.0,14.0,19.0,41.0,7.2,5.5
construction_tools_construction,736,10.8,9.0,13.0,19.0,51.0,9.2,9.1
construction_tools_lights,242,9.8,8.0,12.0,19.0,32.6,6.4,9.1
