purchase_month,total_orders,late_orders,on_time_orders,otdr_pct,avg_delay_when_late_days,p95_lead_time
2016-09-01,1,1.0,0.0,0.0,36.0,55.0
2016-10-01,265,3.0,262.0,98.87,6.3,44.0
2016-12-01,1,0.0,1.0,100.0,,5.0
2017-01-01,750,23.0,727.0,96.93,19.3,25.5
2017-02-01,1653,53.0,1600.0,96.79,19.2,28.0
2017-03-01,2546,142.0,2404.0,94.42,20.8,27.0
2017-04-01,2303,181.0,2122.0,92.14,10.3,32.0
2017-05-01,3545,128.0,3417.0,96.39,10.4,23.0
2017-06-01,3135,121.0,3014.0,96.14,11.2,24.0
2017-07-01,3872,133.0,3739.0,96.57,9.5,23.0
2017-08-01,4193,139.0,4054.0,96.68,7.7,24.0
2017-09-01,4150,216.0,3934.0,94.8,7.9,24.0
2017-10-01,4478,237.0,4241.0,94.71,7.3,25.0
2017-11-01,7288,1043.0,6245.0,85.69,9.7,35.0
2017-12-01,5513,462.0,5051.0,91.62,8.7,35.0
2018-01-01,7069,464.0,6605.0,93.44,10.3,32.0
2018-02-01,6555,1048.0,5507.0,84.01,11.1,39.0
2018-03-01,7003,1496.0,5507.0,78.64,8.9,39.0
2018-04-01,6798,361.0,6437.0,94.69,8.8,27.0
2018-05-01,6749,556.0,6193.0,91.76,5.7,26.0
2018-06-01,6096,83.0,6013.0,98.64,11.4,20.0
2018-07-01,6156,276.0,5880.0,95.52,6.3,21.0
2018-08-01,6351,660.0,5691.0,89.61,2.6,16.0
