seller_id,seller_state,seller_city,total_orders,total_gmv,avg_lead_time,late_rate_pct,avg_review_score,bad_reviews,bad_review_rate_pct,seller_composite_score
1ca7077d890b907f89be8c954a02686a,SP,santana de parnaiba,108,12475.0,15.5,22.2,2.39,64.0,59.3,62.8
54965bbe3e4f07ae045b90b0b8541f52,PR,foz do iguacu,73,10352.0,26.1,30.1,3.14,28.0,38.4,66.4
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,sao paulo,96,8647.0,16.8,26.0,3.03,39.0,40.6,67.3
ad781527c93d00d89a11eecd9dcad7c1,SP,sao jose do rio preto,38,6040.0,25.4,31.6,3.34,13.0,34.2,67.6
835f0f7810c76831d6c7d24c7a646d4d,SP,sao paulo,42,4990.0,18.0,31.0,3.36,13.0,31.0,68.1
2a1348e9addc1af5aaa619b1a3679d6b,MG,belo horizonte,48,2697.0,27.3,27.1,3.17,17.0,35.4,68.2
ede0c03645598cdfc63ca8237acbe73d,SP,ribeirao preto,43,2352.0,18.4,34.9,3.57,12.0,27.9,68.3
2eb70248d66e0e3ef83659f71b244378,SP,campinas,187,38991.0,17.9,13.9,2.79,87.0,46.5,71.0
712e6ed8aa4aa1fa65dab41fed5737e4,SC,videira,77,39385.0,24.6,22.1,3.39,27.0,35.1,72.9
602044f2c16190c2c6e45eb35c2e21cb,SP,ibitinga,48,3559.0,14.8,18.8,3.28,16.0,33.3,73.4
ef990a83bbea832f36ebe81376335aa8,SC,joinville,43,4643.0,17.0,25.6,3.63,11.0,25.6,73.5
bbad7e518d7af88a0897397ffdca1979,SP,sao paulo,68,4426.0,13.3,16.2,3.18,27.0,39.7,73.7
c60b801f2d52c7f7f91de00870882a75,SP,guarulhos,39,11297.0,16.0,20.5,3.44,11.0,28.2,74.1
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,indaiatuba,74,4128.0,18.2,23.0,3.58,20.0,27.0,74.3
972d0f9cf61b499a4812cf0bfa3ad3c4,SC,brusque,81,7910.0,18.1,11.1,3.03,33.0,40.7,74.7
88460e8ebdecbfecb5f9601833981930,PR,maringa,246,31320.0,17.8,19.5,3.44,74.0,30.1,74.7
070d165398b553f3b4b851c216b8a358,SP,sao paulo,31,3333.0,12.1,16.1,3.37,10.0,32.3,75.6
5058e8c1e82653974541e83690655b4a,SP,itaquaquecetuba,62,9813.0,26.7,12.9,3.25,19.0,30.6,76.0
0b35c634521043bf4b47e21547b99ab5,PR,teixeira soares,50,13236.0,19.2,16.0,3.41,17.0,34.0,76.1
6039e27294dc75811c0d8a39069f52c0,SP,osasco,63,13501.0,17.9,22.2,3.73,12.0,19.0,76.2
99a54764c341d5dc80b4a8fac4eba3fb,SP,sao paulo,44,3579.0,7.6,20.5,3.67,9.0,20.5,76.5
71039d19d4303bf9054d69e9a9236699,SP,sao paulo,35,3537.0,13.8,22.9,3.8,7.0,20.0,76.6
beadbee30901a7f61d031b6b686095ad,SP,guarulhos,64,4374.0,14.0,25.0,3.91,12.0,18.8,76.6
ea566164622c6b439516ab18062c42cd,SP,sao  paulo,50,10309.0,13.9,22.0,3.78,12.0,24.0,76.8
66e0557ecc2b4dbea057e93f215f68d8,SP,sao paulo,30,12141.0,31.6,26.7,4.03,4.0,13.3,77.0
6fd52c528dcb38be2eea044946b811f8,SP,sao paulo,67,7743.0,21.5,13.4,3.39,24.0,35.8,77.2
0bf0150d5b9d60d9cd2906003332f085,SP,sao paulo,39,5775.0,14.1,20.5,3.79,8.0,20.5,77.6
8e6d7754bc7e0f22c96d255ebda59eba,SP,sao jose dos campos,84,14107.0,15.2,16.7,3.6,22.0,26.2,77.7
b2479f944e1b90cf8a5de1bbfde284d6,SP,ibitinga,101,4667.0,15.3,13.9,3.5,28.0,27.7,78.1
06a2c3af7b3aee5d69171b0e14f0ee87,MA,sao luis,389,36098.0,17.6,23.1,4.01,62.0,15.9,78.6
2a261b5b644fa05f4f2700eb93544f2c,SP,porto ferreira,51,5355.0,14.0,19.6,3.86,11.0,21.6,78.8
d20b021d3efdf267a402c402a48ea64b,SP,ibitinga,86,3922.0,17.0,17.4,3.75,17.0,19.8,78.8
dd55f1bb788714a40e7954c3be6df745,SP,sao paulo,35,7042.0,18.3,17.1,3.74,7.0,20.0,78.9
6973a06f484aacf400ece213dbf3d946,SP,sao jose dos campos,89,10419.0,14.8,16.9,3.75,19.0,21.3,79.1
3fd1e727ba94cfe122d165e176ce7967,SP,araraquara,35,2747.0,15.6,20.0,3.94,6.0,17.1,79.4
7c67e1448b00f6e969d365cea6b010ab,SP,itaquaquecetuba,973,186570.0,22.3,10.1,3.5,246.0,25.3,79.9
cee48807215b30a12ca2ca10ffb5f250,SP,guaruja,39,7212.0,23.6,15.4,3.77,9.0,23.1,80.0
d3f39f05462b79a4562d35893a28f159,SP,mococa,33,2363.0,11.8,12.1,3.61,11.0,33.3,80.0
3c03b12bab54d8b37d79d914bfdb1aa0,RJ,sao joao de meriti,37,4236.0,13.5,16.2,3.83,7.0,18.9,80.2
431af27f296bc6519d890aa5a05fdb11,SP,ribeirao preto,116,12975.0,17.2,15.5,3.8,27.0,23.3,80.2
8444e55c1f13cd5c179851e5ca5ebd00,MG,congonhal,92,21481.0,21.0,6.5,3.37,30.0,32.6,80.4
a7f13822ceb966b076af67121f87b063,SP,itaquaquecetuba,73,12018.0,22.8,6.8,3.4,20.0,27.4,80.6
002100f778ceb8431b7a1020ff7ab48f,SP,franca,50,1217.0,16.2,18.0,3.96,7.0,14.0,80.6
e5a3438891c0bfdb9394643f95273d8e,SP,limeira,216,7550.0,15.6,18.5,4.0,37.0,17.1,80.7
891071be6ba827b591264c90c2ae8a63,SP,sao paulo,85,3763.0,13.7,17.6,3.95,17.0,20.0,80.7
1835b56ce799e6a4dc4eddc053f04066,SP,ibitinga,417,33005.0,13.2,11.8,3.66,99.0,23.7,80.8
b17b679f4f5ce2e03ce6968c62648246,SP,ribeirao preto,50,3424.0,19.3,18.0,3.98,8.0,16.0,80.8
dd7ddc04e1b6c2c614352b383efe2d36,SP,sao paulo,121,9149.0,15.0,15.7,3.88,22.0,18.2,80.9
d93919c944be9cff128f6c9cb899eacb,SP,mombuca,33,2667.0,22.8,18.2,4.0,6.0,18.2,80.9
dc8798cbf453b7e0f98745e396cc5616,SP,sao paulo,35,1733.0,13.4,5.7,3.37,11.0,31.4,80.9
2d50d6282f8aa2257819a77bfaa0efe0,SP,ibitinga,42,3008.0,13.6,14.3,3.81,8.0,19.0,81.0
11bfa66332777660bd0640ee84d47006,SP,ribeirao preto,76,3926.0,16.5,15.8,3.89,17.0,22.4,81.1
cd68562d3f44870c08922d380acae552,SP,ribeirao preto,122,18120.0,16.2,18.0,4.02,20.0,16.4,81.1
897060da8b9a21f655304d50fd935913,SP,ribeirao preto,304,21741.0,14.9,11.8,3.71,70.0,23.0,81.2
8160255418d5aaa7dbdc9f4c64ebda44,SP,ibitinga,380,46368.0,16.2,16.6,3.95,64.0,16.8,81.3
f46490624488d3ff7ce78613913a7711,SP,guarulhos,80,5691.0,10.2,12.5,3.76,19.0,23.8,81.4
abe42c5d03695b4257b5c6cbf4e6784e,RJ,rio de janeiro,49,17000.0,14.3,16.3,3.96,8.0,16.3,81.4
75d34ebb1bd0bd7dde40dd507b8169c3,BA,salvador,57,12656.0,16.1,15.8,3.93,11.0,19.3,81.4
23613d49c3ac2bd302259e55c06c050c,SP,porto ferreira,69,4193.0,13.9,14.5,3.87,16.0,23.2,81.4
82e0a475a88cc9595229d8029273f045,SP,sao paulo,41,10748.0,16.0,9.8,3.63,12.0,29.3,81.5
855668e0971d4dfd7bef1b6a4133b41b,SP,itatiba,300,30849.0,16.2,14.0,3.85,61.0,20.3,81.5
7ad32824caee82087b3e2e5f33b1bf32,SP,ibitinga,147,22018.0,12.0,14.3,3.86,28.0,19.0,81.5
c31eff8334d6b3047ed34bebd4d62c36,SP,salto,120,12992.0,12.6,14.2,3.87,21.0,17.5,81.7
7040e82f899a04d1b434b795a43b4617,SP,sao paulo,208,9214.0,10.4,9.6,3.65,53.0,25.5,81.7
e2aee0892199b1d92530e371abd825bf,PR,rolandia,36,5393.0,15.4,13.9,3.89,8.0,22.2,81.9
fffd5413c0700ac820c7069d66d98c89,SP,amparo,57,8535.0,13.7,14.0,3.89,12.0,21.1,81.9
b14db04aa7881970e83ffa9426897925,SP,sorocaba,78,5596.0,16.0,11.5,3.77,13.0,16.7,82.0
710e3548e02bc1d2831dfc4f1b5b14d4,PR,rolandia,131,22369.0,14.4,4.6,3.43,40.0,30.5,82.0
f3da5b2ff499efb8d4a6d371d175d7dd,SP,sao paulo,77,3541.0,11.5,14.3,3.91,13.0,16.9,82.0
165fc07beebdcb6190fba8a06db2a449,PR,maringa,50,17481.0,12.8,12.0,3.8,11.0,22.0,82.0
2089a6d640999f9b9141ac719b2af596,SP,sao carlos,41,7676.0,19.5,14.6,3.93,10.0,24.4,82.0
e96498ed8daaa3e9c23f7a62da76591c,SP,sao paulo,34,9619.0,15.1,14.7,3.94,7.0,20.6,82.1
834f8533b2ecb6598dd004ff3de7203a,SP,sao paulo,41,4324.0,14.6,14.6,3.95,7.0,17.1,82.2
440dd6ab244315c632130ecfb63827b1,SP,votuporanga,91,13089.0,16.5,13.2,3.89,14.0,15.4,82.3
8b9d6eec4a7eb7d0f9d579ce0b38324d,RJ,mesquita,48,4160.0,10.3,16.7,4.06,8.0,16.7,82.3
5b179e9e8cc7ab6fd113a46ca584da81,SP,sao paulo,34,5174.0,13.0,8.8,3.67,7.0,20.6,82.3
50c9975695009e5e6473912e83a6d1da,MG,claudio,50,3964.0,16.4,14.0,3.94,9.0,18.0,82.4
a6fe7de3d16f6149ffe280349a8535a0,SP,franca,50,2845.0,14.9,16.0,4.04,8.0,16.0,82.4
6ec1a01e866584bb679eb9b098345919,SP,santos,30,3999.0,13.6,20.0,4.24,4.0,13.3,82.4
ff1fb4c404b2efe68b03350a8dc24122,SP,mogi das cruzes,46,6771.0,10.1,15.2,4.0,8.0,17.4,82.4
1ce3ae5a399804d1a87e706f8a813c3e,SC,jaguaruna,40,2563.0,14.4,10.0,3.75,8.0,20.0,82.5
b1fc4f64df5a0e8b6913ab38803c57a9,RJ,sao goncalo,107,7995.0,15.8,12.1,3.86,22.0,20.6,82.5
903037660cf848a717166eb7a06d616e,SP,sao paulo,44,7935.0,11.8,13.6,3.95,8.0,18.2,82.7
70a12e78e608ac31179aea7f8422044b,SP,jacarei,312,29964.0,14.7,10.9,3.81,61.0,19.6,82.7
dd533b429f380718b70ad9922c294bae,SP,barretos,39,2245.0,17.2,12.8,3.92,6.0,15.4,82.8
18a349e75d307f4b4cc646a691ed4216,SP,sao paulo,109,7425.0,11.1,6.4,3.6,29.0,26.6,82.8
db2956745b3a8e9f3785c99f34b5d25e,SP,sao sebastiao,45,8261.0,14.2,11.1,3.84,9.0,20.0,82.9
3c7c4a49ec3c6550809089c6a2ca9370,SP,sao paulo,139,4003.0,9.5,7.9,3.69,38.0,27.3,82.9
4a3ca9315b744ce9f8e9374361493884,SP,ibitinga,1772,196882.0,14.4,11.0,3.85,323.0,18.2,83.0
99002261c568a84cce14d43fcffb43ea,MT,cuiaba,36,4088.0,16.7,8.3,3.72,6.0,16.7,83.1
