customer_state,purchase_month,total_orders,late_orders,breach_rate_pct,avg_delay_days,avg_lead_time
AC,2017-01-01,2,0.0,0.0,,21.0
AC,2017-02-01,3,0.0,0.0,,25.7
AC,2017-03-01,2,0.0,0.0,,20.0
AC,2017-04-01,5,0.0,0.0,,26.0
AC,2017-05-01,8,0.0,0.0,,20.0
AC,2017-06-01,4,0.0,0.0,,18.5
AC,2017-07-01,5,0.0,0.0,,18.0
AC,2017-08-01,4,0.0,0.0,,17.8
AC,2017-09-01,5,1.0,20.0,24.0,26.6
AC,2017-10-01,5,0.0,0.0,,13.2
AC,2017-11-01,5,1.0,20.0,1.0,24.0
AC,2017-12-01,5,0.0,0.0,,21.6
AC,2018-01-01,6,0.0,0.0,,18.7
AC,2018-02-01,3,0.0,0.0,,23.3
AC,2018-03-01,2,0.0,0.0,,36.0
AC,2018-04-01,4,1.0,25.0,31.0,35.3
AC,2018-05-01,2,0.0,0.0,,21.0
AC,2018-06-01,3,0.0,0.0,,11.7
AC,2018-07-01,4,0.0,0.0,,14.0
AC,2018-08-01,3,0.0,0.0,,13.7
AL,2016-10-01,1,0.0,0.0,,33.0
AL,2017-01-01,2,0.0,0.0,,15.5
AL,2017-02-01,12,1.0,8.3,38.0,28.9
AL,2017-03-01,10,2.0,20.0,16.0,23.7
AL,2017-04-01,21,10.0,47.6,5.3,31.0
AL,2017-05-01,26,2.0,7.7,8.0,22.5
AL,2017-06-01,10,4.0,40.0,4.8,26.1
AL,2017-07-01,15,7.0,46.7,9.3,31.1
AL,2017-08-01,17,4.0,23.5,6.8,24.9
AL,2017-09-01,19,8.0,42.1,14.4,31.3
AL,2017-10-01,28,3.0,10.7,2.3,20.3
AL,2017-11-01,26,6.0,23.1,8.0,23.1
AL,2017-12-01,12,0.0,0.0,,21.5
AL,2018-01-01,36,13.0,36.1,6.5,27.7
AL,2018-02-01,27,10.0,37.0,8.5,27.3
AL,2018-03-01,27,11.0,40.7,6.7,24.3
AL,2018-04-01,27,7.0,25.9,9.9,23.7
AL,2018-05-01,19,3.0,15.8,4.7,21.4
AL,2018-06-01,24,0.0,0.0,,20.5
AL,2018-07-01,22,4.0,18.2,16.0,23.4
AL,2018-08-01,16,0.0,0.0,,14.1
AM,2017-02-01,8,0.0,0.0,,16.9
AM,2017-03-01,5,1.0,20.0,0.0,29.6
AM,2017-04-01,13,0.0,0.0,,20.8
AM,2017-05-01,8,1.0,12.5,104.0,32.9
AM,2017-06-01,1,0.0,0.0,,6.0
AM,2017-07-01,5,0.0,0.0,,18.6
AM,2017-08-01,5,0.0,0.0,,23.4
AM,2017-09-01,9,0.0,0.0,,24.0
