customer_state,total_orders,late_orders,breach_rate_pct,avg_lead_time,avg_delay_when_late
AL,397,95.0,23.9,24.5,8.5
MA,717,141.0,19.7,21.5,9.3
PI,476,76.0,16.0,19.4,11.6
CE,1279,196.0,15.3,21.2,13.6
SE,335,51.0,15.2,21.5,16.2
BA,3256,457.0,14.0,19.3,10.4
RJ,12350,1664.0,13.5,15.2,12.1
TO,274,35.0,12.8,17.6,5.0
PA,946,117.0,12.4,23.7,11.6
RR,41,5.0,12.2,29.3,36.4
ES,1995,244.0,12.2,15.7,9.9
MS,701,81.0,11.6,15.5,7.0
PB,517,57.0,11.0,20.4,9.8
PE,1593,172.0,10.8,18.4,10.6
RN,474,51.0,10.8,19.2,12.5
SC,3546,346.0,9.8,14.9,7.0
GO,1957,160.0,8.2,15.5,9.1
DF,2080,147.0,7.1,12.9,6.0
RS,5344,382.0,7.1,15.2,8.7
MT,886,60.0,6.8,18.0,9.4
SP,40494,2387.0,5.9,8.7,6.4
MG,11354,637.0,5.6,11.9,6.8
PR,4923,246.0,5.0,11.9,6.7
AP,67,3.0,4.5,27.2,48.3
AM,145,6.0,4.1,26.4,20.2
AC,80,3.0,3.8,21.0,18.7
RO,243,7.0,2.9,19.3,5.6
