category_en,units_sold,orders,total_revenue,avg_unit_price,units_per_week,avg_weight_kg,avg_volume_m3,avg_lead_time,p90_lead_time,monthly_units,lead_time_demand_units,reorder_point_units,stockout_risk
bed_bath_table,10953,9272,1023435.0,93.44,110.6,2.12,0.017,12.9,23.0,480.55699999999996,203.82,480.55699999999996,False
health_beauty,9465,8647,1233132.0,130.28,93.7,1.05,0.008,12.0,23.0,407.12649999999996,160.62857142857143,407.12649999999996,False
sports_leisure,8430,7529,954674.0,113.25,85.2,1.71,0.013,12.2,22.0,370.194,148.49142857142857,370.194,False
furniture_decor,8160,6307,711928.0,87.25,82.4,2.64,0.019,13.0,23.0,358.028,153.02857142857144,358.028,False
computers_accessories,7643,6529,888614.0,116.27,77.2,0.9,0.006,13.1,23.0,335.43399999999997,144.4742857142857,335.43399999999997,False
housewares,6795,5743,615629.0,90.6,68.6,3.22,0.023,11.0,20.0,298.06699999999995,107.79999999999998,298.06699999999995,False
watches_gifts,5857,5493,1165899.0,199.06,59.2,0.58,0.003,12.7,24.0,257.224,107.4057142857143,257.224,False
telephony,4430,4093,309860.0,69.95,44.7,0.26,0.002,12.9,24.0,194.2215,82.3757142857143,194.2215,False
garden_tools,4268,3448,470495.0,110.24,43.6,2.81,0.018,13.6,23.0,189.442,84.70857142857143,189.442,False
auto,4139,3809,578849.0,139.85,41.8,2.6,0.018,12.3,23.0,181.62099999999998,73.44857142857143,181.62099999999998,False
toys,4029,3803,471097.0,116.93,40.7,1.85,0.019,11.7,22.0,176.8415,68.02714285714286,176.8415,False
cool_stuff,3718,3559,610204.0,164.12,37.6,2.54,0.021,12.3,22.0,163.37199999999999,66.06857142857143,163.37199999999999,False
perfumery,3340,3086,390145.0,116.81,34.1,0.48,0.005,11.9,22.0,148.1645,57.970000000000006,148.1645,False
baby,2982,2809,400422.0,134.28,30.1,3.26,0.027,12.6,24.0,130.7845,54.18,130.7845,False
stationery,2466,2264,223789.0,90.75,29.0,2.74,0.021,12.7,24.0,126.005,52.61428571428571,126.005,False
electronics,2729,2517,155044.0,56.81,27.8,0.77,0.005,12.8,24.0,120.791,50.83428571428572,120.791,False
fashion_bags_accessories,1985,1820,149329.0,75.23,20.3,0.38,0.004,11.2,21.0,88.20349999999999,32.48,88.20349999999999,False
