purchase_week,orders,unique_customers,total_gmv,avg_item_price,avg_freight,freight_pct_of_price,wow_order_growth_pct
2016-09-12,1,1,143.0,44.99,2.83,6.3,
2016-10-03,231,229,42594.0,134.66,19.67,28.9,23000.0
2016-10-10,34,33,3897.0,85.39,19.92,42.1,-85.28138528138528
2016-12-19,1,1,20.0,10.9,8.72,80.0,-97.05882352941177
2017-01-02,44,30,3651.0,69.22,11.92,74.4,4300.0
2017-01-09,73,71,12582.0,132.16,19.43,32.6,65.90909090909092
2017-01-16,189,184,27206.0,100.07,16.69,33.7,158.9041095890411
2017-01-23,332,327,60948.0,134.2,18.17,32.6,75.66137566137566
2017-01-30,432,426,78371.0,137.44,19.3,30.1,30.12048192771084
2017-02-06,511,504,87091.0,135.23,19.74,33.0,18.287037037037045
2017-02-13,379,376,59815.0,117.59,20.23,33.7,-25.83170254403131
2017-02-20,349,345,50344.0,107.34,19.15,39.2,-7.9155672823219
2017-02-27,461,452,77517.0,126.32,18.84,37.0,32.09169054441261
2017-03-06,548,539,85379.0,114.74,19.29,34.6,18.872017353579174
2017-03-13,591,588,106515.0,139.74,19.47,29.2,7.8467153284671465
2017-03-20,624,613,97043.0,118.33,18.55,33.8,5.583756345177671
2017-03-27,546,539,95902.0,138.35,19.12,33.6,-12.5
2017-04-03,563,551,98871.0,141.47,18.0,31.9,3.1135531135531025
2017-04-10,421,420,64812.0,122.31,19.82,33.9,-25.222024866785077
2017-04-17,545,537,96343.0,135.93,20.22,31.2,29.453681710213786
2017-04-24,644,644,101474.0,118.75,20.07,33.9,18.165137614678905
2017-05-01,750,738,112881.0,115.33,19.05,33.5,16.45962732919255
2017-05-08,753,745,126078.0,127.68,19.78,31.2,0.40000000000000036
2017-05-15,916,897,139951.0,116.54,19.07,32.5,21.64674634794157
2017-05-22,759,750,129451.0,131.21,19.84,33.2,-17.13973799126638
2017-05-29,800,793,128974.0,126.3,18.61,29.6,5.401844532279321
2017-06-05,814,797,123407.0,115.81,19.5,33.4,1.750000000000007
2017-06-12,726,714,114904.0,121.27,18.18,32.2,-10.81081081081081
2017-06-19,635,624,101016.0,120.51,22.17,35.0,-12.534435261707987
2017-06-26,706,701,106731.0,117.56,19.27,31.8,11.181102362204731
2017-07-03,794,785,120804.0,116.42,19.78,31.8,12.464589235127477
2017-07-10,926,917,132254.0,104.46,19.49,45.2,16.624685138539053
2017-07-17,937,921,139192.0,110.47,18.53,29.9,1.1879049676025932
2017-07-24,893,878,127284.0,106.46,18.95,32.2,-4.695837780149414
2017-07-31,954,941,137518.0,109.03,19.13,32.1,6.830907054871216
2017-08-07,911,898,145517.0,120.29,19.23,30.8,-4.507337526205446
2017-08-14,1008,992,143084.0,106.91,19.04,31.0,10.647639956092213
2017-08-21,862,845,122807.0,101.46,18.12,32.4,-14.484126984126988
2017-08-28,979,962,199711.0,158.97,20.31,30.0,13.573085846867738
2017-09-04,879,864,150770.0,131.8,20.34,29.7,-10.214504596527064
2017-09-11,1136,1122,181510.0,121.9,19.9,30.6,29.23777019340159
2017-09-18,956,943,146229.0,112.56,19.18,30.3,-15.845070422535212
2017-09-25,925,917,160890.0,132.16,19.33,30.3,-3.242677824267781
2017-10-02,975,963,164000.0,126.28,20.28,30.3,5.405405405405395
2017-10-09,1030,1019,170925.0,126.66,19.8,30.6,5.641025641025643
2017-10-16,1105,1092,187811.0,123.64,19.84,31.2,7.281553398058249
2017-10-23,950,939,158203.0,120.95,19.68,32.7,-14.027149321266963
2017-10-30,900,889,162910.0,131.66,19.61,28.6,-5.263157894736848
2017-11-06,1168,1163,180022.0,116.97,19.41,31.5,29.77777777777777
2017-11-13,1259,1245,201307.0,117.94,20.13,30.0,7.7910958904109595
2017-11-20,2915,2875,464133.0,116.08,19.32,31.8,131.53296266878476
2017-11-27,2046,2027,307783.0,112.52,19.01,30.5,-29.811320754716984
2017-12-04,1631,1612,252279.0,117.73,19.08,30.9,-20.28347996089932
2017-12-11,1367,1352,214100.0,120.77,18.53,29.2,-16.18638871857756
2017-12-18,952,946,145866.0,117.43,19.14,30.3,-30.358449158741774
2017-12-25,857,852,117037.0,105.34,18.77,30.2,-9.978991596638654
2018-01-01,1341,1335,207574.0,116.93,18.92,30.0,56.47607934655776
2018-01-08,1738,1726,271037.0,118.48,19.52,31.6,29.604772557792703
2018-01-15,1704,1683,251463.0,111.32,19.45,32.6,-1.9562715765247374
2018-01-22,1545,1523,241040.0,118.66,18.61,29.8,-9.330985915492962
2018-01-29,1561,1541,227884.0,107.68,18.85,32.0,1.035598705501628
2018-02-05,1541,1512,232024.0,115.55,18.41,29.7,-1.2812299807815508
2018-02-12,1595,1558,223393.0,102.96,18.31,30.7,3.50421804023362
2018-02-19,1713,1672,242361.0,104.46,18.5,31.4,7.398119122257052
2018-02-26,1849,1806,295734.0,120.65,19.38,31.5,7.939287799182715
2018-03-05,1598,1580,261457.0,121.63,21.95,34.4,-13.574905354245537
2018-03-12,1541,1527,247879.0,120.57,21.16,32.8,-3.5669586983729684
2018-03-19,1671,1659,263989.0,114.52,20.65,34.4,8.436080467229079
2018-03-26,1431,1422,232026.0,120.74,20.22,30.9,-14.362657091561937
2018-04-02,1555,1546,258879.0,126.05,20.79,31.3,8.665269042627543
2018-04-09,1522,1510,264632.0,128.27,21.16,33.7,-2.1221864951768477
2018-04-16,1637,1628,265814.0,120.02,19.96,31.5,7.555847568988172
2018-04-23,1648,1643,269878.0,123.13,19.82,33.5,0.6719609040928498
2018-04-30,1734,1726,277699.0,120.24,18.96,29.2,5.218446601941751
2018-05-07,1943,1936,334321.0,128.31,19.82,31.0,12.053056516724347
2018-05-14,1805,1797,295684.0,121.25,19.28,30.6,-7.102418939783838
